batch_size,1_threads,2_threads,4_threads,8_threads
100,1.8382,1.8928,1.7995,1.7657
200,1.7501,1.8471,1.7292,1.8318
300,1.8128,1.8079,1.7543,1.8063
400,1.8637,1.8126,1.8432,1.7904
500,1.8529,1.7714,1.8087,1.7957
600,1.7977,1.7655,1.7878,1.8717
700,1.7461,1.8408,1.7932,1.7551
800,1.7482,1.8650,1.7653,1.8223
900,1.8407,1.8390,1.8260,1.7093
1000,1.7490,1.8122,1.8395,1.8284
