batch_size,1_threads,2_threads,4_threads,8_threads
100,0.0054,0.0053,0.0056,0.0057
200,0.0057,0.0054,0.0058,0.0055
300,0.0055,0.0055,0.0057,0.0055
400,0.0054,0.0055,0.0054,0.0056
500,0.0054,0.0056,0.0055,0.0056
600,0.0056,0.0057,0.0056,0.0053
700,0.0057,0.0054,0.0056,0.0057
800,0.0057,0.0054,0.0057,0.0055
900,0.0054,0.0054,0.0055,0.0059
1000,0.0057,0.0055,0.0054,0.0055
