batch_size,1_threads,2_threads,4_threads,8_threads
100,0.0806,0.0794,0.0918,0.0888
200,0.0584,0.0593,0.0593,0.0613
300,0.0568,0.0615,0.0559,0.0563
400,0.0484,0.0513,0.0616,0.0583
500,0.0492,0.0441,0.0463,0.0570
600,0.0478,0.0441,0.0501,0.0469
700,0.0455,0.0381,0.0436,0.0412
800,0.0413,0.0447,0.0456,0.0467
900,0.0407,0.0415,0.0425,0.0404
1000,0.0373,0.0401,0.0396,0.0429
