batch_size,1_threads,2_threads,4_threads,8_threads
100,0.2276,0.1905,0.2431,0.2084
200,0.1835,0.3049,0.2178,0.2130
300,0.2318,0.2052,0.1930,0.1939
400,0.2415,0.2186,0.2474,0.2393
500,0.2435,0.2121,0.1671,0.1994
600,0.2420,0.3072,0.2112,0.2438
700,0.2919,0.2639,0.2854,0.2024
800,0.2182,0.2257,0.2477,0.2335
900,0.2493,0.2376,0.2849,0.2573
1000,0.2023,0.1950,0.2182,0.2926
