batch_size,1_threads,2_threads,4_threads,8_threads
100,0.0439,0.0525,0.0411,0.0480
200,0.0545,0.0328,0.0459,0.0469
300,0.0431,0.0487,0.0518,0.0516
400,0.0414,0.0458,0.0404,0.0418
500,0.0411,0.0472,0.0598,0.0501
600,0.0413,0.0326,0.0474,0.0410
700,0.0343,0.0379,0.0350,0.0494
800,0.0458,0.0443,0.0404,0.0428
900,0.0401,0.0421,0.0351,0.0389
1000,0.0494,0.0513,0.0458,0.0342
