batch_size,1_threads,2_threads,4_threads,8_threads
100,0.3207,0.1827,0.3164,0.2734
200,0.4016,0.3639,0.4275,0.2978
300,0.3326,0.3624,0.2758,0.3424
400,0.3207,0.4314,0.4114,0.2932
500,0.3211,0.3937,0.2698,0.3445
600,0.3766,0.3490,0.3277,0.3251
700,0.3451,0.3407,0.3559,0.3529
800,0.3339,0.3554,0.3215,0.3100
900,0.4282,0.3837,0.3324,0.3303
1000,0.3183,0.3686,0.3078,0.4187
