batch_size,1_threads,2_threads,4_threads,8_threads
100,0.0312,0.0547,0.0316,0.0366
200,0.0249,0.0275,0.0234,0.0336
300,0.0301,0.0276,0.0363,0.0292
400,0.0312,0.0232,0.0243,0.0341
500,0.0311,0.0254,0.0371,0.0290
600,0.0266,0.0287,0.0305,0.0308
700,0.0290,0.0293,0.0281,0.0283
800,0.0299,0.0281,0.0311,0.0323
900,0.0234,0.0261,0.0301,0.0303
1000,0.0314,0.0271,0.0325,0.0239
