batch_size,1_threads,2_threads,4_threads,8_threads
100,0.0322,0.0313,0.0340,0.0363
200,0.0243,0.0333,0.0331,0.0342
300,0.0267,0.0322,0.0273,0.0307
400,0.0418,0.0284,0.0270,0.0301
500,0.0297,0.0298,0.0308,0.0296
600,0.0303,0.0279,0.0322,0.0409
700,0.0269,0.0288,0.0305,0.0249
800,0.0288,0.0302,0.0300,0.0276
900,0.0264,0.0268,0.0220,0.0277
1000,0.0287,0.0247,0.0260,0.0243
