batch_size,1_threads,2_threads,4_threads,8_threads
100,0.3103,0.3197,0.2939,0.2756
200,0.4116,0.3004,0.3024,0.2924
300,0.3739,0.3103,0.3663,0.3258
400,0.2394,0.3515,0.3701,0.3320
500,0.3369,0.3359,0.3248,0.3377
600,0.3297,0.3589,0.3110,0.2447
700,0.3722,0.3475,0.3279,0.4019
800,0.3478,0.3315,0.3333,0.3625
900,0.3788,0.3727,0.4544,0.3608
1000,0.3485,0.4055,0.3848,0.4110
